Date,Partial Overlap,Precedes,Problem behaviors
3/19/2018,1,0,1
3/21/2018,1,1,1
3/21/2018,1,1,1
3/23/2018,0,1,1
3/24/2018,1,0,1
3/27/2018,0,0,1
3/27/2018,0,0,1
3/28/2018,1,1,1
3/28/2018,1,0,1
3/28/2018,0,0,1
3/29/2018,0,0,1
3/29/2018,0,0,1
4/12/2018,1,1,1
4/12/2018,1,0,1
4/13/2018,1,1,1
4/13/2018,1,1,1
4/16/2018,1,0,1
4/16/2018,1,0,1
4/16/2018,0,0,1
4/17/2018,0,0,1
4/18/2018,1,0,1
4/19/2018,1,1,1
4/19/2018,1,1,1
4/20/2018,1,1,1
4/20/2018,1,1,1
4/23/2018,1,0,1
4/23/2018,1,1,1
4/23/2018,1,1,1
4/24/2018,1,1,1
4/25/2018,0,0,1
5/7/2018,0,0,1
5/10/2018,0,1,1
